original_filename,new_filename,main_category,specific_food_name,image_description,width,height,orientation,quality_score,duplicate_status,source_url,downloaded_or_original,recommended_website_usage,planned_folder
001-healthy-recipe-bowl-6544374.jpg,tofu-greens-rice-bowl-01.jpg,Healthy-Light-Meals,tofu-greens-rice-bowl,tofu or tempeh rice bowl with greens and sauce,1880,1253,landscape,92,unique,https://www.pexels.com/photo/food-healthy-dinner-dip-6544374/,original,food-card,Healthy-Light-Meals/tofu-greens-rice-bowl
002-healthy-recipe-bowl-236830.jpg,roasted-potato-avocado-bowl-01.jpg,Healthy-Light-Meals,roasted-potato-avocado-bowl,roasted potato and avocado bowl with sprouts,1880,1283,landscape,92,unique,https://www.pexels.com/photo/chopstick-on-bowl-with-salad-inside-236830/,original,food-card,Healthy-Light-Meals/roasted-potato-avocado-bowl
003-healthy-recipe-bowl-6771602.jpg,yogurt-banana-granola-bowl-01.jpg,Healthy-Light-Meals,yogurt-banana-granola-bowl,"yogurt bowl with banana, granola, and fruit compote",1880,1255,landscape,92,unique,https://www.pexels.com/photo/tasty-smoothie-bowl-with-fresh-fruits-and-coconut-flakes-6771602/,original,food-card,Healthy-Light-Meals/yogurt-banana-granola-bowl
004-healthy-recipe-bowl-7964688.jpg,women-holding-salad-bowls-01.jpg,Healthy-Light-Meals,women-holding-salad-bowls,two people holding salad bowls; lifestyle food image,1880,1255,landscape,68,unique,https://www.pexels.com/photo/women-standing-back-to-back-holding-food-platters-7964688/,original,promotional-banner,Healthy-Light-Meals/women-holding-salad-bowls
005-healthy-recipe-bowl-17597404.jpg,egg-avocado-rice-bowl-01.jpg,Healthy-Light-Meals,egg-avocado-rice-bowl,"egg, avocado, corn, rice, and vegetable bowl",1733,1300,landscape,92,unique,https://www.pexels.com/photo/bowl-of-fresh-chopped-vegetables-and-eggs-17597404/,original,food-card,Healthy-Light-Meals/egg-avocado-rice-bowl
006-healthy-recipe-bowl-17597485.jpg,tuna-avocado-corn-bowl-01.jpg,Healthy-Light-Meals,tuna-avocado-corn-bowl,"tuna, avocado, corn, cucumber, and herb bowl",1733,1300,landscape,92,unique,https://www.pexels.com/photo/food-in-bowl-17597485/,original,food-card,Healthy-Light-Meals/tuna-avocado-corn-bowl
007-healthy-recipe-bowl-6740849.jpg,meal-bowl-with-smoothie-01.jpg,Healthy-Light-Meals,meal-bowl-with-smoothie,healthy meal bowl beside bottled smoothie,1880,1253,landscape,68,unique,https://www.pexels.com/photo/healthy-food-and-drink-6740849/,original,gallery,Healthy-Light-Meals/meal-bowl-with-smoothie
008-healthy-recipe-bowl-5907999.jpg,egg-noodle-vegetable-bowl-01.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,1236,landscape,92,unique,https://www.pexels.com/photo/crop-unrecognizable-woman-touching-bowl-with-traditional-ramen-soup-5907999/,original,food-card,Healthy-Light-Meals/egg-noodle-vegetable-bowl
009-healthy-recipe-bowl-9213888.jpg,lime-chicken-rice-bowl-01.jpg,Healthy-Light-Meals,lime-chicken-rice-bowl,lime chicken rice bowl with greens,1880,1253,landscape,92,unique,https://www.pexels.com/photo/cooked-food-in-a-ceramic-bowl-9213888/,original,food-card,Healthy-Light-Meals/lime-chicken-rice-bowl
010-healthy-recipe-bowl-6546429.jpg,chickpea-pita-salad-bowl-01.jpg,Healthy-Light-Meals,chickpea-pita-salad-bowl,chickpea salad bowl with pita bread,1880,1253,landscape,92,unique,https://www.pexels.com/photo/food-healthy-vegetables-dinner-6546429/,original,food-card,Healthy-Light-Meals/chickpea-pita-salad-bowl
011-healthy-recipe-bowl-36075894.jpg,vegetable-noodle-salad-01.jpg,Healthy-Light-Meals,vegetable-noodle-salad,cold vegetable noodle salad with dipping sauce,1880,1253,landscape,92,unique,https://www.pexels.com/photo/indonesian-gado-gado-salad-with-peanut-sauce-36075894/,original,food-card,Healthy-Light-Meals/vegetable-noodle-salad
012-healthy-recipe-bowl-19150339.jpg,cauliflower-tomato-salad-bowl-01.jpg,Healthy-Light-Meals,cauliflower-tomato-salad-bowl,"cauliflower, tomato, and greens salad bowl",1753,1300,landscape,92,unique,https://www.pexels.com/photo/hands-holding-bowl-of-salad-19150339/,original,food-card,Healthy-Light-Meals/cauliflower-tomato-salad-bowl
013-healthy-recipe-bowl-5907993.jpg,egg-noodle-vegetable-bowl-02.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,1253,landscape,74,similar-duplicate,https://www.pexels.com/photo/crop-unrecognizable-women-decorating-asian-noodle-soup-with-parsley-5907993/,original,food-card,duplicates
014-healthy-recipe-bowl-12814860.jpg,salmon-poke-bowl-01.jpg,Healthy-Light-Meals,salmon-poke-bowl,salmon poke bowl with cucumber and edamame,1733,1300,landscape,92,unique,https://www.pexels.com/photo/a-salad-in-a-bowl-12814860/,original,food-card,Healthy-Light-Meals/salmon-poke-bowl
015-healthy-recipe-bowl-19658784.jpg,berry-yogurt-granola-bowl-01.jpg,Healthy-Light-Meals,berry-yogurt-granola-bowl,berry yogurt granola bowl,1880,1253,landscape,92,unique,https://www.pexels.com/photo/bowl-of-granola-with-whole-fruits-19658784/,original,food-card,Healthy-Light-Meals/berry-yogurt-granola-bowl
016-healthy-recipe-bowl-5908009.jpg,egg-noodle-vegetable-bowl-03.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,999,landscape,74,similar-duplicate,https://www.pexels.com/photo/crop-unrecognizable-women-decorating-noodles-soup-with-cut-chili-pepper-5908009/,original,food-card,duplicates
017-healthy-recipe-bowl-4958901.jpg,beetroot-avocado-soup-01.jpg,Healthy-Light-Meals,beetroot-avocado-soup,red beetroot soup or smoothie bowl with avocado,1880,1253,landscape,92,unique,https://www.pexels.com/photo/woman-holding-dish-with-herbs-4958901/,original,food-card,Healthy-Light-Meals/beetroot-avocado-soup
