original_filename,new_filename,main_category,specific_food_name,image_description,width,height,orientation,quality_score,duplicate_status,source_url,downloaded_or_original,recommended_website_usage
001-healthy-recipe-bowl-6544374.jpg,Healthy-Light-Meals/tofu-greens-rice-bowl/tofu-greens-rice-bowl-01.jpg,Healthy-Light-Meals,tofu-greens-rice-bowl,tofu or tempeh rice bowl with greens and sauce,1880,1253,landscape,92,unique,https://www.pexels.com/photo/food-healthy-dinner-dip-6544374/,original,food-card
002-healthy-recipe-bowl-236830.jpg,Healthy-Light-Meals/roasted-potato-avocado-bowl/roasted-potato-avocado-bowl-01.jpg,Healthy-Light-Meals,roasted-potato-avocado-bowl,roasted potato and avocado bowl with sprouts,1880,1283,landscape,92,unique,https://www.pexels.com/photo/chopstick-on-bowl-with-salad-inside-236830/,original,food-card
003-healthy-recipe-bowl-6771602.jpg,Healthy-Light-Meals/yogurt-banana-granola-bowl/yogurt-banana-granola-bowl-01.jpg,Healthy-Light-Meals,yogurt-banana-granola-bowl,"yogurt bowl with banana, granola, and fruit compote",1880,1255,landscape,92,unique,https://www.pexels.com/photo/tasty-smoothie-bowl-with-fresh-fruits-and-coconut-flakes-6771602/,original,food-card
004-healthy-recipe-bowl-7964688.jpg,Healthy-Light-Meals/women-holding-salad-bowls/women-holding-salad-bowls-01.jpg,Healthy-Light-Meals,women-holding-salad-bowls,two people holding salad bowls; lifestyle food image,1880,1255,landscape,68,unique,https://www.pexels.com/photo/women-standing-back-to-back-holding-food-platters-7964688/,original,promotional-banner
005-healthy-recipe-bowl-17597404.jpg,Healthy-Light-Meals/egg-avocado-rice-bowl/egg-avocado-rice-bowl-01.jpg,Healthy-Light-Meals,egg-avocado-rice-bowl,"egg, avocado, corn, rice, and vegetable bowl",1733,1300,landscape,92,unique,https://www.pexels.com/photo/bowl-of-fresh-chopped-vegetables-and-eggs-17597404/,original,food-card
006-healthy-recipe-bowl-17597485.jpg,Healthy-Light-Meals/tuna-avocado-corn-bowl/tuna-avocado-corn-bowl-01.jpg,Healthy-Light-Meals,tuna-avocado-corn-bowl,"tuna, avocado, corn, cucumber, and herb bowl",1733,1300,landscape,92,unique,https://www.pexels.com/photo/food-in-bowl-17597485/,original,food-card
007-healthy-recipe-bowl-6740849.jpg,Healthy-Light-Meals/meal-bowl-with-smoothie/meal-bowl-with-smoothie-01.jpg,Healthy-Light-Meals,meal-bowl-with-smoothie,healthy meal bowl beside bottled smoothie,1880,1253,landscape,68,unique,https://www.pexels.com/photo/healthy-food-and-drink-6740849/,original,gallery
008-healthy-recipe-bowl-5907999.jpg,Healthy-Light-Meals/egg-noodle-vegetable-bowl/egg-noodle-vegetable-bowl-01.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,1236,landscape,92,unique,https://www.pexels.com/photo/crop-unrecognizable-woman-touching-bowl-with-traditional-ramen-soup-5907999/,original,food-card
009-healthy-recipe-bowl-9213888.jpg,Healthy-Light-Meals/lime-chicken-rice-bowl/lime-chicken-rice-bowl-01.jpg,Healthy-Light-Meals,lime-chicken-rice-bowl,lime chicken rice bowl with greens,1880,1253,landscape,92,unique,https://www.pexels.com/photo/cooked-food-in-a-ceramic-bowl-9213888/,original,food-card
010-healthy-recipe-bowl-6546429.jpg,Healthy-Light-Meals/chickpea-pita-salad-bowl/chickpea-pita-salad-bowl-01.jpg,Healthy-Light-Meals,chickpea-pita-salad-bowl,chickpea salad bowl with pita bread,1880,1253,landscape,92,unique,https://www.pexels.com/photo/food-healthy-vegetables-dinner-6546429/,original,food-card
011-healthy-recipe-bowl-36075894.jpg,Healthy-Light-Meals/vegetable-noodle-salad/vegetable-noodle-salad-01.jpg,Healthy-Light-Meals,vegetable-noodle-salad,cold vegetable noodle salad with dipping sauce,1880,1253,landscape,92,unique,https://www.pexels.com/photo/indonesian-gado-gado-salad-with-peanut-sauce-36075894/,original,food-card
012-healthy-recipe-bowl-19150339.jpg,Healthy-Light-Meals/cauliflower-tomato-salad-bowl/cauliflower-tomato-salad-bowl-01.jpg,Healthy-Light-Meals,cauliflower-tomato-salad-bowl,"cauliflower, tomato, and greens salad bowl",1753,1300,landscape,92,unique,https://www.pexels.com/photo/hands-holding-bowl-of-salad-19150339/,original,food-card
013-healthy-recipe-bowl-5907993.jpg,duplicates/egg-noodle-vegetable-bowl/egg-noodle-vegetable-bowl-02.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,1253,landscape,74,similar-duplicate,https://www.pexels.com/photo/crop-unrecognizable-women-decorating-asian-noodle-soup-with-parsley-5907993/,original,food-card
014-healthy-recipe-bowl-12814860.jpg,Healthy-Light-Meals/salmon-poke-bowl/salmon-poke-bowl-01.jpg,Healthy-Light-Meals,salmon-poke-bowl,salmon poke bowl with cucumber and edamame,1733,1300,landscape,92,unique,https://www.pexels.com/photo/a-salad-in-a-bowl-12814860/,original,food-card
015-healthy-recipe-bowl-19658784.jpg,Healthy-Light-Meals/berry-yogurt-granola-bowl/berry-yogurt-granola-bowl-01.jpg,Healthy-Light-Meals,berry-yogurt-granola-bowl,berry yogurt granola bowl,1880,1253,landscape,92,unique,https://www.pexels.com/photo/bowl-of-granola-with-whole-fruits-19658784/,original,food-card
016-healthy-recipe-bowl-5908009.jpg,duplicates/egg-noodle-vegetable-bowl/egg-noodle-vegetable-bowl-03.jpg,Healthy-Light-Meals,egg-noodle-vegetable-bowl,soft boiled egg noodle bowl with greens,1880,999,landscape,74,similar-duplicate,https://www.pexels.com/photo/crop-unrecognizable-women-decorating-noodles-soup-with-cut-chili-pepper-5908009/,original,food-card
017-healthy-recipe-bowl-4958901.jpg,Healthy-Light-Meals/beetroot-avocado-soup/beetroot-avocado-soup-01.jpg,Healthy-Light-Meals,beetroot-avocado-soup,red beetroot soup or smoothie bowl with avocado,1880,1253,landscape,92,unique,https://www.pexels.com/photo/woman-holding-dish-with-herbs-4958901/,original,food-card
018-healthy-recipe-bowl-9213852.jpg,Healthy-Light-Meals/avocado-veggie-grain-bowl/avocado-veggie-grain-bowl-01.jpg,Healthy-Light-Meals,avocado-veggie-grain-bowl,avocado vegetable grain bowl with sauce,1880,1253,landscape,92,unique,https://www.pexels.com/photo/a-close-up-shot-of-a-salad-9213852/,original,food-card
019-healthy-recipe-bowl-6631967.jpg,Healthy-Light-Meals/chickpea-quinoa-bowl/chickpea-quinoa-bowl-01.jpg,Healthy-Light-Meals,chickpea-quinoa-bowl,chickpea and quinoa bowl with roasted vegetables,1880,1253,landscape,92,unique,https://www.pexels.com/photo/close-up-photo-of-a-bowl-with-chickpeas-and-tofu-6631967/,original,food-card
020-healthy-recipe-bowl-788766.jpg,review-needed/unidentified-green-dumpling-salad/unidentified-green-dumpling-salad-01.jpg,review-needed,unidentified-green-dumpling-salad,green gnocchi or dumpling salad bowl,1551,1300,landscape,55,unique,https://www.pexels.com/photo/person-holding-bowl-with-mixed-food-788766/,original,review-needed
021-healthy-recipe-bowl-6546437.jpg,duplicates/chickpea-pita-salad-bowl/chickpea-pita-salad-bowl-02.jpg,Healthy-Light-Meals,chickpea-pita-salad-bowl,chickpea salad bowl with pita bread,1880,1253,landscape,74,similar-duplicate,https://www.pexels.com/photo/vegan-chili-bowl-6546437/,original,food-card
022-healthy-recipe-bowl-5182123.jpg,Healthy-Light-Meals/salmon-chickpea-bowl/salmon-chickpea-bowl-01.jpg,Healthy-Light-Meals,salmon-chickpea-bowl,salmon and chickpea bowl with greens,1880,1253,landscape,92,unique,https://www.pexels.com/photo/person-holding-a-bowl-with-food-5182123/,original,food-card
023-healthy-recipe-bowl-1564585.jpg,Healthy-Light-Meals/green-smoothie-bowl/green-smoothie-bowl-01.jpg,Healthy-Light-Meals,green-smoothie-bowl,green smoothie bowl with blueberries and mango,1880,1253,landscape,92,unique,https://www.pexels.com/photo/fruit-shake-with-blueberries-in-white-bowl-1564585/,original,food-card
024-healthy-recipe-bowl-20929210.jpg,Healthy-Light-Meals/avocado-blueberry-salad/avocado-blueberry-salad-01.jpg,Healthy-Light-Meals,avocado-blueberry-salad,avocado blueberry green salad,1880,1253,landscape,92,unique,https://www.pexels.com/photo/vegetables-salad-in-bowl-20929210/,original,food-card
025-healthy-recipe-bowl-6546422.jpg,duplicates/chickpea-pita-salad-bowl/chickpea-pita-salad-bowl-03.jpg,Healthy-Light-Meals,chickpea-pita-salad-bowl,chickpea salad bowl with pita bread,1880,1253,landscape,74,similar-duplicate,https://www.pexels.com/photo/vegan-chili-bowl-6546422/,original,food-card
026-healthy-recipe-bowl-15615007.jpg,Healthy-Light-Meals/shrimp-zucchini-rice-bowl/shrimp-zucchini-rice-bowl-01.jpg,Healthy-Light-Meals,shrimp-zucchini-rice-bowl,shrimp zucchini rice bowl,1880,1253,landscape,92,unique,https://www.pexels.com/photo/shrimps-on-rice-for-dinner-15615007/,original,food-card
027-healthy-recipe-bowl-13222803.jpg,Healthy-Light-Meals/kiwi-smoothie-bowl/kiwi-smoothie-bowl-01.jpg,Healthy-Light-Meals,kiwi-smoothie-bowl,kiwi smoothie bowl with nuts and berries,1880,1253,landscape,92,unique,https://www.pexels.com/photo/close-up-shot-of-a-smoothie-bowl-13222803/,original,food-card
028-healthy-recipe-bowl-8481842.jpg,Healthy-Light-Meals/teriyaki-chicken-rice-bowl/teriyaki-chicken-rice-bowl-01.jpg,Healthy-Light-Meals,teriyaki-chicken-rice-bowl,teriyaki chicken rice bowl with sesame,1880,1253,landscape,92,unique,https://www.pexels.com/photo/cooked-food-with-sesame-seeds-and-nori-8481842/,original,food-card
029-healthy-recipe-bowl-4877248.jpg,Healthy-Light-Meals/rainbow-vegetable-bowl/rainbow-vegetable-bowl-01.jpg,Healthy-Light-Meals,rainbow-vegetable-bowl,rainbow vegetable bowl with shredded carrots,1880,1253,landscape,92,unique,https://www.pexels.com/photo/delicious-poke-bowl-near-apple-on-stripes-surface-4877248/,original,food-card
030-healthy-recipe-bowl-38431269.jpg,Healthy-Light-Meals/pasta-salad-bowl/pasta-salad-bowl-01.jpg,Healthy-Light-Meals,pasta-salad-bowl,healthy pasta salad bowl with greens,1880,1253,landscape,92,unique,https://www.pexels.com/photo/woman-holding-delicious-fresh-pasta-dish-38431269/,original,food-card
031-healthy-recipe-bowl-248509.jpg,Healthy-Light-Meals/quinoa-tomato-salad/quinoa-tomato-salad-01.jpg,Healthy-Light-Meals,quinoa-tomato-salad,quinoa tomato salad in a pan,1880,1253,landscape,92,unique,https://www.pexels.com/photo/close-up-of-salad-in-bowl-248509/,original,food-card
032-healthy-recipe-bowl-20175008.jpg,Healthy-Light-Meals/kiwi-granola-bowl/kiwi-granola-bowl-01.jpg,Healthy-Light-Meals,kiwi-granola-bowl,kiwi granola breakfast bowl,1880,1253,landscape,92,unique,https://www.pexels.com/photo/a-smoothie-bowl-with-fruit-and-nuts-on-top-20175008/,original,food-card
033-healthy-recipe-bowl-28286219.jpg,Healthy-Light-Meals/zucchini-noodle-salad/zucchini-noodle-salad-01.jpg,Healthy-Light-Meals,zucchini-noodle-salad,zucchini noodle salad with tomatoes,1880,1253,landscape,92,unique,https://www.pexels.com/photo/vegan-courgetti-marinara-28286219/,original,food-card
034-healthy-recipe-bowl-5645029.jpg,Healthy-Light-Meals/vegetable-prep-board/vegetable-prep-board-01.jpg,Healthy-Light-Meals,vegetable-prep-board,vegetable preparation scene with cucumbers and tomatoes,1880,1248,landscape,68,unique,https://www.pexels.com/photo/hands-of-a-person-slicing-green-vegetable-on-stainless-steel-bowl-5645029/,original,background
